date,regime,comparator,n_seeds_per_mode,full_cost_USD,comparator_cost_USD,both_numerical_pass,total_cost_USD_delta_full_minus_comparator,energy_adjusted_cost_USD_delta_full_minus_comparator,operating_cost_USD_delta_full_minus_comparator,DR_cost_USD_delta_full_minus_comparator,wear_cost_USD_delta_full_minus_comparator,battery_wear_delta_full_minus_comparator,converter_wear_delta_full_minus_comparator,Tj_peak_C_delta_full_minus_comparator,Tj_RMSE_C_delta_full_minus_comparator,FEC_delta_full_minus_comparator,thermal_exceedance_hours_delta_full_minus_comparator,DR_shortfall_kWh_delta_full_minus_comparator,terminal_SOC_delta_full_minus_comparator,terminal_correction_USD_delta_full_minus_comparator,solver_p95_seconds_delta_full_minus_comparator,max_rainflow_gap_USD_delta_full_minus_comparator,sensing_saving_USD_per_day
2017-01-01,ordinary,scalar,2,254.01732124888625,254.01931136428252,True,-0.001990115396267811,-0.001990115396267811,-0.002037079811628928,0.0,4.6964415369998846e-05,0.0,1.5654805123294087e-09,0.10946458201372167,-0.08177617049371899,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0013347499989322387,0.0,0.001990115396267811
2017-02-01,ordinary,scalar,2,246.3489078952506,246.454276211562,True,-0.10536831631139876,-0.10536831631139876,-0.23276545938315962,0.0,0.12739714307176087,2.545841440172161e-06,3.50236877173443e-09,0.04870597986987946,-0.03008793486120309,0.013148723977597143,0.0,0.0,0.0,0.0,0.0028272500057937577,0.0,0.10536831631139876
2017-03-01,ordinary,scalar,2,161.1032998605255,161.0935747834187,True,0.0097250771068218,0.0097250771068218,0.009558209855242694,0.0,0.00016686725158887583,3.009519154202481e-09,5.463764626351264e-10,0.008241679170680527,0.028620128991004412,1.6799354390917287e-05,0.0,0.0,0.0,0.0,0.01353827500497573,-7.145953697662577e-07,-0.0097250771068218
2017-04-01,ordinary,scalar,2,18.672873649368142,18.641612223251578,True,0.031261426116564905,0.031261426116564905,0.037246057303381264,0.0,-0.005984631186819023,-1.1688590190483711e-07,-4.677869719258886e-09,-0.05584290849155593,0.23379322596690377,0.00014542879204393344,0.0,0.0,0.0,0.0,-0.009559574999002507,4.995927452483562e-06,-0.031261426116564905
2017-05-01,ordinary,scalar,2,66.9719681458686,66.94840906088223,True,0.023559084986374046,0.023559084986374046,0.01255683993253598,0.0,0.01100224505384828,1.1282238522677295e-07,1.7870419308364318e-07,1.0320655365214293,0.05890661775636297,0.000814619927389848,0.0,0.0,0.0,0.0,-0.00639187499837135,4.342702517867725e-07,-0.023559084986374046
2017-06-01,ordinary,scalar,2,-7.629125675740595,-7.635038549321102,True,0.005912873580506961,0.005912873580506961,0.005380095463566548,0.0,0.0005327781169407464,1.0655810696565338e-08,-4.139295840364435e-13,-7.182600096200531e-05,0.3180700264932539,0.0001811858099824426,0.0,0.0,0.0,0.0,-0.003988924996519927,-1.1378605174749978e-07,-0.005912873580506961
2017-07-01,ordinary,scalar,2,0.7103937651984796,0.6957114161709639,True,0.014682349027515751,0.014682349027515751,0.013003230130974819,0.0,0.001679118896541043,3.381702856974648e-08,-3.9108439820951174e-10,0.0009918516186928628,0.24144032632345785,0.0011737652357159956,0.0,0.0,0.0,0.0,-0.005060937495727558,2.806973667043855e-06,-0.014682349027515751
2017-08-01,ordinary,scalar,2,21.114966960339615,20.858803188815408,True,0.2561637715242071,0.2561637715242071,0.25688943448791335,0.0,-0.0007256629637044654,-1.2246717603499563e-08,-3.777569450980955e-09,0.028124385264902685,0.20272290678547156,-0.00020190560697119775,0.0,0.0,0.0,0.0,-0.011924299997190246,-3.5367186090873304e-07,-0.2561637715242071
2017-09-01,ordinary,scalar,2,28.757592492792536,28.754197318831864,True,0.0033951739606727926,0.0033951739606727926,0.0012223434678695355,0.0,0.0021728304928037012,4.2986122318667034e-08,7.841458956716293e-10,0.0,0.20483331090117485,0.00026946400551219885,0.0,0.0,0.0,0.0,0.018540612509241328,-1.9213814665963724e-05,-0.0033951739606727926
2017-10-01,ordinary,scalar,2,31.460095089320802,31.4623107613469,True,-0.0022156720260966267,-0.0022156720260966267,-0.0021979641678697703,0.0,-1.7707858232185458e-05,-6.197449865308954e-11,-4.869711099996131e-10,0.005437788919017805,0.021084568086692013,0.00010914948439610939,0.0,0.0,0.0,0.0,-9.235000106855296e-05,-3.780758944027518e-06,0.0022156720260966267
