setting,date,mode,total_cost_USD,Tj_RMSE_C,Tj_peak_C,DR_shortfall_kWh,battery_wear,converter_wear,thermal_exceedance_hours
cooling_120,2017-07-01,full_mean,0.7156087996252575,0.5255943593934533,72.35437566018697,0.0,2.9284592564843432e-05,1.2065947457164657e-07,0.0
cooling_120,2017-07-01,scalar,0.7024650322586262,0.8188784851628903,72.35267523425418,0.0,2.9259100957465016e-05,1.2209259963709145e-07,0.0
cooling_120,2017-07-01,waveform,0.7156088599423471,0.7235140115541516,72.35437588559336,0.0,2.928459283293878e-05,1.2065947943820578e-07,0.0
cooling_120,2017-10-01,full,31.466884926560212,0.6804711423131933,73.80404113254377,0.0,5.8562273436277716e-05,6.329046399019681e-07,0.0
cooling_120,2017-10-01,full_mean,31.466883318103587,0.7410534895348666,73.8037767773148,0.0,5.856226255546108e-05,6.328850048307675e-07,0.0
cooling_120,2017-10-01,scalar,31.46804642585961,1.2600605281104809,73.79927888915017,0.0,5.856236581923089e-05,6.344218405065169e-07,0.0
cooling_120,2017-10-01,waveform,31.466874440172326,0.9970987243373155,73.802317922076,0.0,5.856220254393636e-05,6.327764816609945e-07,0.0
margin_six,2017-01-01,full,254.02560276225148,0.5174322803270001,58.71047554310487,0.00086734519860695,0.0001272328962306,1.1178343568611996e-07,0.0
margin_six,2017-01-01,full_mean,254.02560276225148,0.0708525420745858,58.71047554310487,0.00086734519860695,0.0001272328962306,1.1178343568611996e-07,0.0
margin_six,2017-01-01,scalar,254.0306616056711,0.5950320227046038,58.5987630167532,0.0030267542325734,0.0001272328962306,1.0973337715123313e-07,0.0
margin_six,2017-01-01,waveform,254.02560276225148,0.19563609261219955,58.71047554310487,0.00086734519860695,0.0001272328962306,1.1178343568611996e-07,0.0
margin_six,2017-04-01,full,18.674567913581125,0.5184279813532262,79.0385855879529,0.0,5.3287043801156685e-05,8.598836132401097e-07,0.0
margin_six,2017-04-01,full_mean,18.680598884657186,0.0591473719013407,79.02787273865907,0.0,5.325648312749549e-05,8.587371188399495e-07,0.0
margin_six,2017-04-01,scalar,18.63244025009164,0.2845821343250866,79.11474929628001,0.0,5.3460581284751005e-05,8.682645985178691e-07,0.0
margin_six,2017-04-01,waveform,18.668671034489705,0.19159656825603777,79.04906056461834,0.0,5.3316923300120145e-05,8.610052227047301e-07,0.0
margin_six,2017-07-01,full,0.7158401280072695,0.5176292845885014,69.83244504151884,0.0,2.9284529359081823e-05,8.765140297791674e-08,0.0
margin_six,2017-07-01,full_mean,0.7158576774178922,0.0549141680910373,69.83292384276831,0.0,2.928459360932944e-05,8.765935242040213e-08,0.0
margin_six,2017-07-01,scalar,0.7026643198565818,0.28138609375300416,69.77470788502436,0.0,2.9259100957465016e-05,8.716992167874648e-08,0.0
margin_six,2017-07-01,waveform,0.7158433527352421,0.1914814386163305,69.83253292359379,0.0,2.9284541182654794e-05,8.765284866618117e-08,0.0
margin_six,2017-10-01,full,31.46266171840223,0.5182885076182739,71.54702368207359,0.0,5.856268101951106e-05,4.90858083616217e-07,0.0
margin_six,2017-10-01,full_mean,31.46268947074774,0.061076829735743896,71.54700053047688,0.0,5.856267995871098e-05,4.908564616105686e-07,0.0
margin_six,2017-10-01,scalar,31.463792621435793,0.49715146955912837,71.54162566842555,0.0,5.856272724283038e-05,4.914997846088766e-07,0.0
